,middle-no-trained,converge_cnt,total_time,no_op
abz7_new_25_23_15,584.0,2669.0,3603.268640756607,0.0
abz7_new_50_23_15,416.0,2714.0,2667.3042891025543,0.0
abz7_new_75_23_15,352.0,659.0,402.906676530838,0.0
dmu16_new_25_35_20,3733.0,739.0,3610.7134075164795,0.0
dmu16_new_50_35_20,2987.0,1019.0,3603.2012424468994,0.0
dmu16_new_75_35_20,2773.0,1654.0,3603.2418298721313,0.0
ft06_new_25_8_6,57.0,519.0,29.869866371154785,0.0
ft06_new_50_8_6,47.0,179.0,8.904184818267822,0.0
ft06_new_75_8_6,40.0,314.0,12.15341591835022,0.0
la21_new_25_18_10,1056.0,3339.0,1453.6025249958038,0.0
la21_new_50_18_10,753.0,2354.0,767.9093472957611,0.0
la21_new_75_18_10,613.0,434.0,91.64823293685913,0.0
la26_new_25_23_10,1202.0,1714.0,1144.449462890625,0.0
la26_new_50_23_10,903.0,914.0,445.03507566452026,0.0
la26_new_75_23_10,827.0,239.0,71.3271255493164,0.0
orb01_new_25_13_10,977.0,3129.0,842.0682864189148,0.0
orb01_new_50_13_10,793.0,1174.0,242.4946413040161,0.0
orb01_new_75_13_10,752.0,734.0,106.56027364730835,0.0
ta21_new_25_23_20,1577.0,1629.0,3610.175434112549,0.0
ta21_new_50_23_20,1270.0,1979.0,3174.782901287079,0.0
ta21_new_75_23_20,1270.0,1189.0,1197.5629479885101,0.0
ta61_new_25_55_20,2659.0,314.0,3623.7415239810944,0.0
ta61_new_50_55_20,1943.0,444.0,3623.0798511505127,0.0
ta61_new_75_55_20,1374.0,764.0,3617.9631304740906,0.0
